Date ;Time ;TupsC 
 2013-01-28 ; 08:39:30 ; 29.1 
 2013-01-28 ; 08:29:30 ; 29.1 
 2013-01-28 ; 08:19:30 ; 29.1 
 2013-01-28 ; 08:09:30 ; 29.1 
 2013-01-28 ; 07:59:30 ; 29.1 
 2013-01-28 ; 07:49:30 ; 29.6 
 2013-01-28 ; 07:39:30 ; 29.6 
 2013-01-28 ; 07:29:30 ; 30.2 
 2013-01-28 ; 07:19:30 ; 31.3 
 2013-01-28 ; 07:09:30 ; 30.2 
 2013-01-28 ; 06:59:29 ; 29.6 
 2013-01-28 ; 06:49:29 ; 28.0 
 2013-01-28 ; 06:39:29 ; 27.4 
 2013-01-28 ; 06:29:30 ; 28.5 
 2013-01-28 ; 06:19:30 ; 28.5 
 2013-01-28 ; 06:09:30 ; 28.5 
 2013-01-28 ; 05:59:30 ; 28.5 
 2013-01-28 ; 05:49:30 ; 28.5 
 2013-01-28 ; 05:39:30 ; 28.5 
 2013-01-28 ; 05:29:30 ; 28.5 
 2013-01-28 ; 05:19:30 ; 28.5 
 2013-01-28 ; 05:09:30 ; 28.5 
 2013-01-28 ; 04:59:30 ; 28.5 
 2013-01-28 ; 04:49:30 ; 29.1 
 2013-01-28 ; 04:39:30 ; 29.1 
 2013-01-28 ; 04:29:30 ; 29.6 
 2013-01-28 ; 04:19:30 ; 29.6 
 2013-01-28 ; 04:09:30 ; 29.1 
 2013-01-28 ; 03:59:30 ; 27.4 
 2013-01-28 ; 03:49:30 ; 27.4 
 2013-01-28 ; 03:39:30 ; 28.5 
 2013-01-28 ; 03:29:30 ; 28.5 
 2013-01-28 ; 03:19:30 ; 28.5 
 2013-01-28 ; 03:09:30 ; 28.5 
 2013-01-28 ; 02:59:30 ; 28.5 
 2013-01-28 ; 02:49:30 ; 28.5 
 2013-01-28 ; 02:39:30 ; 28.5 
 2013-01-28 ; 02:29:30 ; 28.5 
 2013-01-28 ; 02:19:30 ; 28.5 
 2013-01-28 ; 02:09:30 ; 28.5 
 2013-01-28 ; 01:59:30 ; 28.5 
 2013-01-28 ; 01:49:30 ; 29.1 
 2013-01-28 ; 01:39:30 ; 29.1 
 2013-01-28 ; 01:29:30 ; 29.6 
 2013-01-28 ; 01:19:30 ; 29.6 
 2013-01-28 ; 01:09:30 ; 29.1 
 2013-01-28 ; 00:59:30 ; 27.4 
 2013-01-28 ; 00:49:30 ; 27.4 
 2013-01-28 ; 00:39:30 ; 28.5 
 2013-01-28 ; 00:29:30 ; 28.5 
 2013-01-28 ; 00:19:30 ; 28.5 
 2013-01-28 ; 00:09:30 ; 28.5 
 2013-01-27 ; 23:59:30 ; 28.5 
 2013-01-27 ; 23:49:30 ; 28.5 
 2013-01-27 ; 23:39:30 ; 28.5 
